smiles,logP,hlb,phob_mass,mass
CCOC(=O)NN1CC=CCC1,3.42,20.0,0.0,170.105527688
CCc1c(C)nc2n(c1=O)C(C)CCC2,3.11,17.669372557228588,24.022,206.141913196
N=c1[nH]o[nH]c1=NC(=O)c1ccccc1,3.54,12.936946860871101,72.06599999999999,204.064725496
O=C(O)CCCCC(=O)O,3.2,13.421239507709561,48.044,146.0579088
CCCCCCCCCC(CCCC)c1ccccc1,3.2,4.2344322862889445,216.19799999999995,274.266051088
CC(=O)NCCC(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1,3.99,14.859645165180355,84.07699999999998,327.125277152
c1ccc2c(c1)[nH]c1ccccc12,0.85,2.7462762659269657,144.13199999999998,167.073499288
CNC(=O)OCc1ccc(Cl)cc1,2.37,12.758641706119755,72.06599999999999,199.04000624
CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O,6.12,6.185548389588336,192.17599999999996,278.2245802
O=NN(CCF)C(=O)NCCCl,3.72,18.78083646110108,12.011,197.036732428
CCCOc1ccccc1NC(=O)OCCN1CCCCC1,3.09,14.508259084030644,84.07699999999998,306.194342692
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,2.92,16.9529084711947,60.05499999999999,394.179166804
CC1CCCC(C)C1O,6.07,16.250081421601827,24.022,128.120115132
O=c1[nH]c(=Nc2ccccc2)[nH]c2c1ncn2CCO,6.39,14.683573642285786,72.06599999999999,271.106924656
ON=C(c1ccccc1)c1ccccc1,5.5,5.373551052765279,144.13199999999998,197.084063972
COc1cccc2c(O)c3c(O)c4c(c(O)c3c(O)c12)=C(OC1CC(N)C(O)C(C)O1)CC(O)(C(C)=O)C=4,5.13,13.620612604460955,168.15399999999997,527.179146128
CC(CC(N)=O)n1nnc2ccccc21,2.75,11.76124033951464,84.07699999999998,204.101111004
CC12CCC3C4=C(CCC3C1CCC2O)CC(=O)CC4,8.71,12.991221376777114,96.08799999999998,274.193280072
O=C(O)Cc1ccc(O)c(O)c1,7.4,9.993350406924993,84.07699999999998,168.042258736
Nc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,4.51,8.425269170207647,144.13199999999998,249.045964212
ClC(Cl)C(Cl)C(Cl)Cl,1.72,16.630347311530212,36.033,213.867738496
COC1OC(CO)C(O)C(NC(=O)N(C)N=O)C1O,6.1,20.0,0.0,279.10664988400003
CN(c1nc2ccccc2s1)C1CCN(CC(O)COc2ccc(F)cc2)CC1,5.43,13.056773526674391,144.13199999999998,415.17297629199993
Cc1cc(C)cc(NCc2cnc3[nH]c(=N)[nH]c(=N)c3c2C)c1,5.72,12.984569194859255,108.09899999999998,308.17494464
c1ccc(Cc2nn[nH]n2)cc1,4.96,9.495292270495714,84.07699999999998,160.074896256
CC1(C)N=C(N)N=C(N)N1c1ccc(I)cc1,7.1,15.79826094343577,72.06599999999999,343.029393448
CN(C)c1nc(=N)nc(COC(=O)c2ccc(-n3cnnc3)cc2)[nH]1,3.79,15.76256364202438,72.06599999999999,340.13962175200004
CNC(=O)Oc1ccc(C=O)cc1,1.75,11.950552096008886,72.06599999999999,179.058243148
Nc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1,6.84,9.77870513209602,144.13199999999998,282.022976272
CCNCCNCC,2.92,20.0,0.0,116.13134851199999
CC(C)NCC(O)COc1ccccc1,2.83,9.662600751564163,108.09899999999998,209.141578848
O=C(O)c1c(F)cccc1Cl,3.76,11.715998756009562,72.06599999999999,173.988385268
COc1cc(OC)[nH]c(=NC(=O)NS(=O)(=O)c2ncccc2C(=O)N(C)C)n1,5.31,19.414241647952352,12.011,410.100853296
CC(=O)NC(Cc1ccccc1)C(=O)NCC(=O)NC(CC(C)C)C(N)=O,4.85,12.976229799097577,132.12099999999998,376.211055376
CC(C(=O)O)c1ccc(-c2nccs2)c(Cl)c1,3.75,13.702382239105344,84.07699999999998,267.01207724
O=C(O)c1cccc(F)c1,1.96,9.706868539850692,72.06599999999999,140.02735762
CCN=c1[nH]c(Cl)nc(=NC2CCCCC2)[nH]1,2.16,20.0,0.0,255.12507325599998
N#CC=Cc1ccc([N+](=O)[O-])o1,6.05,11.461277385547533,70.027,164.022191988
COc1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1,2.99,12.449662358717191,120.10999999999997,318.157957184
CCOP(=S)(OCC)SCSC(C)(C)C,4.59,15.83015282446551,60.05499999999999,288.044129542
Cc1nc2cc([N+](=O)[O-])ccc2[nH]1,3.64,6.6626999982960395,118.07099999999998,177.053826464
Clc1ccccc1Oc1ccc(Cl)c(Cl)c1Cl,1.42,10.577060432474772,144.13199999999998,305.91727553199996
CC(C)OC(=O)C1=C(CSc2nc3c(cc2C#N)CCCCC3)OC(=N)C(C#N)[C@@H]1c1ccncc1,1.6,15.206944785189386,120.10999999999997,501.1834607240001
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,2.75,14.184757493397374,72.06599999999999,247.852088432
COCCOCCOCCOc1ccccc1OCCOCCOCCOC,1.54,16.416635760706175,72.06599999999999,402.22536804799995
