train RMSE	val RMSE	train R2	val R2
1.8641014924539123	1.8602591282558611	-0.005364003849313015	-0.006001251696946319	
1.65234355619761	1.666989738814923	0.2100766974946432	0.19217463490432696	
1.2352898600172943	1.2591824573369061	0.5585088763873576	0.5390763826172009	
1.014203773276722	0.9866802160344835	0.7023988073850652	0.7169882459868288	
0.9869465126949827	0.9890900563742827	0.7181802294410792	0.7156041176839945	
1.091132613261691	1.057595868523548	0.655539603756386	0.6748444856413344	
1.0084471802767203	1.0199232050749978	0.7057675721975785	0.697596663708778	
0.8458659000039233	0.8515750905448972	0.7929919387777733	0.7891869307323427	
0.9608290488060354	0.9671006582285719	0.7328984104163141	0.7281089009361283	
0.8751945928962852	0.8745741870597992	0.7783878969972404	0.7776460020022271	
0.9100608990389876	0.89498008834445	0.7603788579285302	0.7671488544551188	
0.8255273306006052	0.8139918512777996	0.8028271403222911	0.8073842717457589	
1.0407388506913053	1.0633543310650395	0.6866225391120577	0.6712939927298556	
0.9507461354155707	0.9455744913646673	0.738474909613273	0.7400779473280922	
1.0345539341340895	1.0183590441981931	0.6903361589601382	0.6985234879277429	
0.7914320652083523	0.7823269435527361	0.8187777545981983	0.8220785915085298	
0.8145920719009473	0.8173858484717006	0.8080162010275904	0.8057746729709303	
0.8620145127387698	0.8781657942857111	0.7850124163307505	0.7758159730419572	
0.7743033594689607	0.7831051811856772	0.8265371368910535	0.8217244326555921	
0.9471085303526564	0.9383874039249793	0.7404722989217318	0.7440141429657023	
0.8724639380897619	0.8658334949502922	0.7797686233286619	0.782068304503676	
0.937423555160964	0.950879077615038	0.7457529354059207	0.7371534895065817	
1.0140598524720024	1.00948943974795	0.7024832637148162	0.7037521597880807	
0.8346769443949559	0.8314178330131622	0.798432245217425	0.7990489391040787	
0.7426179487624089	0.7578062667548832	0.8404432774912249	0.8330570754584836	
0.8779493108779819	0.8723936543469696	0.7769906315064665	0.7787533883100248	
0.8453864017963673	0.8563447776081626	0.7932265666553585	0.7868187818123391	
0.9721117247060406	0.9650453818235752	0.7265886207350798	0.7292633155560373	
0.8626903767476422	0.8934762909536312	0.7846751613766888	0.7679306970219502	
0.7562907547844745	0.7979349078391428	0.8345137913662037	0.8149084628064789	
0.8209939526058434	0.8498106517183358	0.8049867412451039	0.7900596227979699	
1.0039730307241554	1.0196911120327037	0.7083726061642208	0.697734277451193	
1.0324967841708672	1.0726207961836685	0.6915664314375427	0.665540097908043	
0.7998342285252024	0.7926562617054994	0.8149094718950317	0.817349265919825	
0.7336718903258524	0.7765436744969781	0.8442643702864436	0.8246993988790831	
0.737292908518607	0.7567763876815932	0.8427233185824214	0.8335105269605794	
0.7342529192380385	0.7603495132181123	0.8440176040272763	0.8319346528159365	
0.7539903894066747	0.769948432011708	0.8355189598104764	0.8276644358156593	
0.8185398107887996	0.8621237435678005	0.8061508786494987	0.7839318046393595	
0.8504124963610105	0.8591193398498893	0.7907605884862495	0.7854351270487723	
0.7371201726396011	0.7651409232453582	0.8427970047472116	0.8298098214958971	
0.7960251722391355	0.8411772941789769	0.8166681900218953	0.7943035885571106	
0.769526991441719	0.8064520605323714	0.828670582526098	0.8109360425162575	
0.934404793675417	0.941267549631	0.7473877896692142	0.742440362228732	
0.8796812903136859	0.9070101266686508	0.7761098776371693	0.7608469607765328	
0.6385517817115953	0.6754936393029046	0.8820286727937178	0.8673539993480558	
1.0297655125652247	1.0571853332167136	0.6931960764619353	0.6750968729932898	
0.7165950091647387	0.7491366561369872	0.8514297748228817	0.8368550148336407	
0.67006086373003	0.7125718482068598	0.8700989298260259	0.8523923202491944	
0.6985034577241052	0.7220590285603299	0.8588368490220584	0.8484356581501488	
0.7735434533637294	0.8030329532400515	0.8268774448719716	0.8125357894963554	
